DOW.Sunday,DOW.Monday,DOW.Tuesday,DOW.Wednesday,DOW.Thursday,DOW.Friday,DOW.Saturday,ROH0,ROH1,ROH2,ROH3,ROH4,ROH5,ROH6,ROH7,ROH14,ROH21,ROH30,ROH60,ROH90
1,0,0,0,0,0,0,-2.318817654449367,-2.0359359376330985,-1.8562714355814713,-2.2397794335651255,-2.151492458198567,-2.179407652601517,-2.238588952346008,-2.4169599308473777,-1.9191821892235197,-1.724725159577852,-1.958446591813394,-0.7176853938277691,-0.7124880770991366
0,0,0,0,1,0,0,-1.322841248972773,-1.6669622468924201,-1.6255268933764613,-1.2590841137834758,-1.5387654547102059,-1.3592263494167964,-1.2450591081155986,-1.464186727488746,-0.9849901008314426,-1.1133158182471308,-1.51268287903178,-0.04453813036695631,-0.22415270064501858
0,0,0,1,0,0,0,-2.8168058571876635,-2.509660230261433,-2.5758181289397797,-2.51633674710601,-2.2744813859130493,-2.3968999075269646,-2.5707640660347266,-2.621665075308335,-2.243237150189556,-1.843049688367989,-1.5028969206110485,-0.29515506707788486,-0.5638778068131738
0,0,0,0,0,1,0,-0.9671353898739896,-0.9015324329118211,-1.0685573728354378,-1.1830316409358934,-1.162753860198598,-1.0342206406545755,-0.8557770131774525,-0.6974849891280569,-0.7717226201590233,-0.3217589851861559,-0.9244519301997727,0.16742765800627368,0.4345513862273314
0,0,0,0,0,0,1,-1.109417733513503,-0.6983816304033392,-0.5511511875552512,-0.9172457887134015,-1.0729752399439678,-1.092716395070077,-0.7372337607114346,-0.5503741060259009,-0.46398546703795773,-0.8770068623855248,-0.8313754907625137,-0.7377207643877909,-0.4184727823879621
1,0,0,0,0,0,0,-0.18458249985666614,0.04413394856930197,0.10824305501301357,-0.2797286374188568,-0.31487731939054875,-0.2450109180307969,-0.18347989520642255,-0.4013559736329724,-0.2170741669625036,0.012515791438491353,0.30723377428245424,0.09376901207164612,-0.672376473855254
0,0,1,0,0,0,0,-0.7537118744147197,-0.5564323224816927,-0.6632056952985274,-0.3425168479715578,-0.4587270682330975,-0.49372030755606255,-0.49966882482230157,-0.3132504690872205,-0.3035543015910642,-0.7412651950050961,-0.767177694867053,-0.43903946714819964,-0.4533346534294783
0,0,1,0,0,0,0,-0.39800601531593616,-0.6402288533596998,-0.6257691806638339,-0.7192846135802774,-1.1556435344516345,-0.8431276613426588,-1.1098201895426825,-0.5101347013582609,-0.46092960075687994,-0.7055179560270786,-0.42949229802514344,0.10427253080689347,-0.44624893648872543
0,1,0,0,0,0,0,-0.46914718713569287,-0.2886135036061459,-0.39688250986622364,-0.39631938232581065,-0.2600992579555612,-0.12869731077493007,-0.3785093644255606,-0.26689816814977085,0.46544253918868606,-0.09791952176319729,0.5746175679129193,0.5468133338682479,0.2864131413838109
1,0,0,0,0,0,0,0.45568804652114403,0.3908858061608338,0.45636276867358516,0.1430090405165073,0.29771616177654536,0.16743846729029954,0.3860971129801956,0.3384381905529495,0.4104205019469793,0.5999299491963664,0.6527103246254455,0.23522578170841912,-0.691942419738881
